CO            ,2054
TX            ,6733
AZ            ,981
CA            ,1201
IL            ,650
NY            ,256
NV            ,24
IN            ,112
OH            ,96
,8
NC            ,192
WA            ,234
OR            ,79
MN            ,146
LA            ,60
FL            ,166
GA            ,140
CT            ,124
PA            ,90
MA            ,160
AK            ,26
VA            ,165
MD            ,79
NJ            ,150
NE            ,30
MI            ,79
IA            ,30
RI            ,30
ME            ,30
NH            ,30
KY            ,19
WI            ,19
VT            ,19
TN            ,19
AL            ,20
NM            ,20
